channel,topomap_x,topomap_y,inside_head,beta_TD_minus_ASD,SE,p,q,fdr_significant,is_posterior_roi
E44,0.053559363604099006,-0.048311826976680516,1.0,0.0725943165942858,0.0550638380351414,0.1896640337943557,0.3181593846400334,False,False
E45,0.05318377848302631,-0.033208106050314656,1.0,0.082827884128519,0.041169611392913,0.0462692100274409,0.1231884647642015,False,False
E46,0.052663590769443394,-0.01803528029906817,1.0,0.0946708373847654,0.0440285768194104,0.0333609489187912,0.113191558263211,False,False
E47,0.06984500423842799,-0.0396546494440601,0.0,0.1101542619218731,0.0532768235840944,0.0406782162508414,0.113191558263211,False,False
E48,0.05994457196438001,-0.014539917662805152,1.0,-0.0119476690940611,0.0582098390695801,0.8377015227534166,0.8509983723209311,False,False
E49,0.05359004675658456,-0.0005096786892179342,1.0,0.0199829903198704,0.0551684974626824,0.7177732349375856,0.7530735579673029,False,False
E50,0.040844771892944116,0.008872647384362782,1.0,0.0422540966650655,0.0367462655725768,0.2522689825835771,0.3562261155187304,False,False
E51,0.02689310124456113,0.014443334302383868,1.0,0.0455590586333599,0.032286028339376,0.1606016005097978,0.2855139564618628,False,False
E52,0.06726628059747358,-0.015099514188383746,1.0,0.0254475016591281,0.0527671523304245,0.6304851637746948,0.6957077669238011,False,False
E53,0.03578462866049454,0.02692383786385812,1.0,0.0468249694200641,0.0410473641563259,0.2560375205290874,0.3562261155187304,False,False
E54,0.017885542685265442,0.03132072249013169,1.0,0.0401336985930368,0.032835722562022,0.2237884112961207,0.3330804261151564,False,False
E55,0.07951461698600491,0.013974501622553277,0.0,0.1602965692360765,0.0581215132250679,0.0067039996605355,0.0536319972842843,False,False
E56,0.05684912796245359,0.028926300245264287,1.0,-0.025240274112198,0.0693399291538834,0.7165036117887713,0.7530735579673029,False,False
E57,0.043760880598318695,0.03843671108958216,1.0,0.0424599546801682,0.0555718276985932,0.4462514408142206,0.5492325425405793,False,False
E58,0.06023486139715975,0.0409612301173894,1.0,0.071373041726855,0.0555910568152737,0.2015536793543656,0.3181593846400334,False,False
E59,0.04768930231997245,0.05022827804527653,1.0,0.1506379495816299,0.0575838485584913,0.0099932811117008,0.0639569991148855,False,False
E60,0.03593258786645944,0.05398969543015077,1.0,0.1159254164436275,0.0615921304367486,0.0621045117864036,0.1472106946048087,False,False
E61,0.07915381440324587,0.05624965917341603,0.0,0.0506325559694487,0.0618092125608436,0.4142710269051155,0.5198695239593607,False,False
E62,0.062331173521897106,0.10414224255998604,0.0,0.1460056199805728,0.0908249051566691,0.1111184295281674,0.2186585031873885,False,False
E63,-0.06233117352189712,0.10414224255998604,0.0,0.2768850159316126,0.1133380136399708,0.0165405527997096,0.081430413783186,False,False
E64,-0.07915381440324587,0.05624965917341603,0.0,0.016624451725274,0.0690862889387411,0.8102500799315014,0.8363871792841305,False,False
