time_seconds,group,isc_mean,ci_low,ci_high,n,isc_definition,segment_label
246.5,TD,0.252178912355615,0.14096021933221697,0.36339760537901306,,within_group_loo,Neutral
246.5,ASD,-0.006481599751267788,-0.11859565189997476,0.10563245239743918,,within_group_loo,Neutral
247.0,TD,0.28501046518611073,0.18107929462897565,0.3889416357432458,,within_group_loo,Neutral
247.0,ASD,0.02097219719019971,-0.0954793688944749,0.13742376327487432,,within_group_loo,Neutral
247.5,TD,0.31156733518279006,0.19893276216467057,0.4242019082009095,,within_group_loo,Neutral
247.5,ASD,0.0657428007920441,-0.06286780146634886,0.19435340305043708,,within_group_loo,Neutral
248.0,TD,0.3275169866840033,0.2185841688548512,0.4364498045131554,,within_group_loo,Neutral
248.0,ASD,0.1739353984229197,0.05244478866575607,0.2954260081800833,,within_group_loo,Neutral
248.5,TD,0.10646563858560133,0.017145202615397495,0.19578607455580516,,within_group_loo,Neutral
248.5,ASD,0.1581068865289873,0.06821921026304774,0.24799456279492688,,within_group_loo,Neutral
249.0,TD,0.08120388268005434,-0.02154220406248465,0.18394996942259334,,within_group_loo,Neutral
249.0,ASD,0.18012210651255123,0.07244603101681739,0.28779818200828505,,within_group_loo,Neutral
249.5,TD,0.1820583093248644,0.07349285585972273,0.290623762790006,,within_group_loo,Neutral
249.5,ASD,0.16368612754871956,0.052756748190893044,0.27461550690654607,,within_group_loo,Neutral
250.0,TD,0.17968229021725055,0.06010625572894815,0.2992583247055529,,within_group_loo,Neutral
250.0,ASD,0.17700751212671587,0.07032356549294583,0.2836914587604859,,within_group_loo,Neutral
250.5,TD,0.15770285376737736,0.0466310362632706,0.26877467127148413,,within_group_loo,Neutral
250.5,ASD,0.13122258997519734,0.017999964676160773,0.2444452152742339,,within_group_loo,Neutral
251.0,TD,0.2666004985645487,0.14959614468215382,0.3836048524469436,,within_group_loo,Neutral
251.0,ASD,0.19152271026965356,0.06767292549942938,0.31537249503987774,,within_group_loo,Neutral
251.5,TD,0.2712438032747663,0.14914468206508913,0.3933429244844435,,within_group_loo,Neutral
251.5,ASD,0.08743595618103618,-0.035283452328295425,0.21015536469036777,,within_group_loo,Neutral
252.0,TD,0.2921936866426585,0.18301596413153842,0.40137140915377856,,within_group_loo,Mentalizing
252.0,ASD,0.08435283993014474,-0.026083396490767116,0.19478907635105658,,within_group_loo,Mentalizing
252.5,TD,0.32672157857035705,0.21555470722512782,0.4378884499155863,,within_group_loo,Mentalizing
252.5,ASD,0.15619683670945073,0.04173983317442448,0.270653840244477,,within_group_loo,Mentalizing
253.0,TD,0.33690429541664335,0.2255654242842992,0.4482431665489875,,within_group_loo,Neutral
253.0,ASD,0.20921449943678921,0.0919931215596838,0.3264358773138946,,within_group_loo,Neutral
253.5,TD,0.2709779068000472,0.1724013388898984,0.369554474710196,,within_group_loo,Neutral
253.5,ASD,0.1726602935514549,0.059984702423304004,0.2853358846796058,,within_group_loo,Neutral
254.0,TD,0.13391040209752253,0.014615258914114374,0.2532055452809307,,within_group_loo,Neutral
254.0,ASD,0.07759345474255873,-0.038250984835876675,0.19343789432099412,,within_group_loo,Neutral
254.5,TD,0.09674648130912492,-0.0089952639864299,0.20248822660467974,,within_group_loo,Neutral
254.5,ASD,0.0793483595301797,-0.050435838759182464,0.20913255781954188,,within_group_loo,Neutral
255.0,TD,-0.06911794635043098,-0.1586226030249833,0.020386710324121343,,within_group_loo,Neutral
255.0,ASD,0.09197185748454598,-0.02723429691847444,0.2111780118875664,,within_group_loo,Neutral
255.5,TD,-0.041170563628222405,-0.14558235931170352,0.0632412320552587,,within_group_loo,Mentalizing
255.5,ASD,-0.17179787333703359,-0.2677144132210632,-0.07588133345300395,,within_group_loo,Mentalizing
256.0,TD,-0.08303754627705386,-0.1850890349009234,0.019013942346815693,,within_group_loo,Mentalizing
256.0,ASD,0.070409169041125,-0.036173787402696875,0.17699212548494686,,within_group_loo,Mentalizing
256.5,TD,-0.047591763716079975,-0.14775994545456658,0.05257641802240664,,within_group_loo,Mentalizing
256.5,ASD,0.13339399270447164,0.010020086810237624,0.25676789859870564,,within_group_loo,Mentalizing
257.0,TD,0.019698905762881174,-0.07340510172168314,0.1128029132474455,,within_group_loo,Mentalizing
257.0,ASD,0.11855627920981374,-0.009662551558324378,0.24677510997795185,,within_group_loo,Mentalizing
257.5,TD,0.00748398492815653,-0.08932417460549205,0.1042921444618051,,within_group_loo,Neutral
257.5,ASD,0.046646399702596916,-0.07461541311112473,0.16790821251631854,,within_group_loo,Neutral
258.0,TD,0.0032139032129134895,-0.09559159280901947,0.10201939923484646,,within_group_loo,Mentalizing
258.0,ASD,-0.22895933260903298,-0.3326351998254891,-0.12528346539257684,,within_group_loo,Mentalizing
258.5,TD,0.13196653926282897,0.04243633316701767,0.22149674535864028,,within_group_loo,Mentalizing
258.5,ASD,0.10650899011371097,-0.0009511872348232225,0.21396916746224515,,within_group_loo,Mentalizing
259.0,TD,0.13124304611668006,0.026465016423402488,0.23602107580995763,,within_group_loo,Mentalizing
259.0,ASD,0.21346612857798328,0.08517841521011132,0.34175384194585523,,within_group_loo,Mentalizing
259.5,TD,0.1438137510308164,0.04750687647407545,0.24012062558755734,,within_group_loo,Mentalizing
259.5,ASD,0.2020418645322624,0.07653993238907603,0.32754379667544875,,within_group_loo,Mentalizing
260.0,TD,0.20071425746340688,0.0921140861673275,0.3093144287594862,,within_group_loo,Neutral
260.0,ASD,0.17074210951408486,0.05612396256359835,0.28536025646457136,,within_group_loo,Neutral
260.5,TD,0.1843841020251382,0.07056054431231898,0.2982076597379574,,within_group_loo,Neutral
260.5,ASD,0.10770677073203441,0.003939998365833516,0.2114735430982353,,within_group_loo,Neutral
261.0,TD,0.27494282523423186,0.16306912217020797,0.38681652829825575,,within_group_loo,Neutral
261.0,ASD,0.1598506007011019,0.052613574932904306,0.2670876264692995,,within_group_loo,Neutral
261.5,TD,0.2947406164133014,0.17999798315182192,0.4094832496747809,,within_group_loo,Neutral
261.5,ASD,0.14789999250260433,0.017387286869298857,0.2784126981359098,,within_group_loo,Neutral
262.0,TD,0.30151250416793896,0.196654530728099,0.4063704776077789,,within_group_loo,Neutral
262.0,ASD,0.15998580314566405,0.03702240013954672,0.2829492061517814,,within_group_loo,Neutral
262.5,TD,0.24637031380304708,0.14070178139473155,0.3520388462113626,,within_group_loo,Neutral
262.5,ASD,0.16275312892446722,0.03272113562472648,0.29278512222420794,,within_group_loo,Neutral
263.0,TD,0.22972948021393186,0.11102292740789202,0.3484360330199717,,within_group_loo,Pain-related
263.0,ASD,0.21386344324360868,0.08566335241408296,0.3420635340731344,,within_group_loo,Pain-related
263.5,TD,0.22313397194207435,0.11550385845730274,0.330764085426846,,within_group_loo,Neutral
263.5,ASD,0.15029611398657255,0.02893447344189337,0.27165775453125174,,within_group_loo,Neutral
264.0,TD,0.12725094872334075,0.02206928597314335,0.23243261147353816,,within_group_loo,Neutral
264.0,ASD,0.07832247346647793,-0.02291925048554716,0.17956419741850302,,within_group_loo,Neutral
264.5,TD,0.03470641353705478,-0.0642609245063961,0.13367375158050565,,within_group_loo,Neutral
264.5,ASD,-0.048686526512601885,-0.11461192598149396,0.017238872956290188,,within_group_loo,Neutral
265.0,TD,0.314971554012029,0.2237249116657246,0.40621819635833334,,within_group_loo,Neutral
265.0,ASD,0.15811141181624958,0.05322428768608284,0.2629985359464163,,within_group_loo,Neutral
265.5,TD,0.42630215497758683,0.3281961271233014,0.5244081828318723,,within_group_loo,Neutral
265.5,ASD,0.19923340258111735,0.08364094320888678,0.31482586195334794,,within_group_loo,Neutral
266.0,TD,0.4067044275651461,0.3035715186099027,0.5098373365203894,,within_group_loo,Neutral
266.0,ASD,0.20624552441713376,0.08936600176107966,0.32312504707318784,,within_group_loo,Neutral
266.5,TD,0.28695424488648924,0.18912072902986288,0.3847877607431156,,within_group_loo,Neutral
266.5,ASD,0.12892313046861978,0.028054094963999812,0.22979216597323976,,within_group_loo,Neutral
267.0,TD,0.12989871564141028,0.012310253331302881,0.2474871779515177,,within_group_loo,Neutral
267.0,ASD,0.05878288803186355,-0.0520157143162493,0.1695814903799764,,within_group_loo,Neutral
267.5,TD,0.1122038014424227,-0.006257986870795318,0.23066558975564072,,within_group_loo,Pain-related
267.5,ASD,0.10102151279851718,-0.012721813443767577,0.21476483904080193,,within_group_loo,Pain-related
268.0,TD,0.03737496319789597,-0.08494100325555054,0.1596909296513425,,within_group_loo,Neutral
268.0,ASD,0.11904649978165742,-0.001749536715538652,0.2398425362788535,,within_group_loo,Neutral
268.5,TD,0.140439984303203,0.021326060066282043,0.25955390854012395,,within_group_loo,Neutral
268.5,ASD,0.15036306271043404,0.04270255989149098,0.2580235655293771,,within_group_loo,Neutral
269.0,TD,0.20260888519260858,0.0779139893033127,0.3273037810819045,,within_group_loo,Neutral
269.0,ASD,0.1424200782791187,0.02375865252178215,0.26108150403645525,,within_group_loo,Neutral
269.5,TD,0.223133264798345,0.10043708001868247,0.34582944957800754,,within_group_loo,Neutral
269.5,ASD,0.12193883693800561,0.0016296888150472005,0.242247985060964,,within_group_loo,Neutral
270.0,TD,0.18008981981667457,0.06399823692055744,0.2961814027127917,,within_group_loo,Neutral
270.0,ASD,0.12778356492589932,0.013565757903769071,0.24200137194802956,,within_group_loo,Neutral
270.5,TD,0.07707433944348818,-0.021599742071947717,0.17574842095892407,,within_group_loo,Neutral
270.5,ASD,0.10167381863647783,-0.014654405345914459,0.21800204261887013,,within_group_loo,Neutral
271.0,TD,0.2291073755837915,0.11304960744084173,0.34516514372674123,,within_group_loo,Neutral
271.0,ASD,0.0981271484116844,-0.006055230357303487,0.2023095271806723,,within_group_loo,Neutral
271.5,TD,0.2928964066087636,0.1650522683549969,0.4207405448625303,,within_group_loo,Neutral
271.5,ASD,0.23687937522272914,0.11877486267265842,0.3549838877727999,,within_group_loo,Neutral
272.0,TD,0.31804152260057067,0.20022424214053552,0.4358588030606058,,within_group_loo,Neutral
272.0,ASD,0.24938406073842365,0.12548984676100122,0.37327827471584607,,within_group_loo,Neutral
272.5,TD,0.18759126142220228,0.07594126447859702,0.29924125836580756,,within_group_loo,Neutral
272.5,ASD,0.2241748971832765,0.10749574529321027,0.3408540490733427,,within_group_loo,Neutral
