frequency_hz,group,n_subjects,mean_log10_psd,sem_log10_psd,ci95_low_log10_psd,ci95_high_log10_psd
11.5,TD,77,0.4336148001076645,0.02826461014502322,0.37821616422341897,0.48901343599191005
12.0,TD,77,0.3283829851712916,0.026205273214277614,0.27702064967130746,0.37974532067127575
12.5,TD,77,0.2602211985786645,0.02533539058949989,0.21056383302324472,0.30987856413408427
13.0,TD,77,0.21666118158077774,0.024600252241997918,0.16844468718646183,0.26487767597509365
13.5,TD,77,0.1838522411220024,0.02445470905945556,0.13592101136546952,0.2317834708785353
14.0,TD,77,0.15102991386958559,0.023981377247222362,0.10402641446502975,0.19803341327414142
14.5,TD,77,0.11210604468253924,0.02339346596572644,0.06625485138971542,0.15795723797536304
15.0,TD,77,0.0832218218269305,0.023537050164519922,0.03708920350447145,0.12935444014938954
15.5,TD,77,0.04713285995828709,0.023728494654724954,0.000625010435026177,0.093640709481548
16.0,TD,77,0.01631521693528456,0.02350085268779923,-0.02974645433280193,0.06237688820337105
16.5,TD,77,-0.0009091599876316571,0.024765844438387856,-0.049450215086871856,0.04763189511160854
17.0,TD,77,-0.036779560552796214,0.02546857218061548,-0.08669796202680255,0.013138840921210121
17.5,TD,77,-0.06852886403134212,0.024386927407941895,-0.11632724175090822,-0.020730486311776007
18.0,TD,77,-0.09146209390758606,0.024270705387692038,-0.13903267646746245,-0.04389151134770966
18.5,TD,77,-0.11971888029024551,0.02510999303089813,-0.16893446663080583,-0.07050329394968519
19.0,TD,77,-0.14842062061411407,0.025165604806020512,-0.19774520603391427,-0.09909603519431387
19.5,TD,77,-0.180605886338679,0.024257320486832632,-0.22815023449287095,-0.13306153818448704
20.0,TD,77,-0.21016410789061896,0.024775325596245585,-0.2587237460592603,-0.16160446972197762
20.5,TD,77,-0.24943096411168436,0.023879535070212555,-0.29623485284930096,-0.20262707537406777
21.0,TD,77,-0.2845959043156747,0.023724353164083466,-0.3310956365172783,-0.23809617211407114
21.5,TD,77,-0.32527206543696513,0.023357767699994182,-0.3710532901289537,-0.27949084074497654
22.0,TD,77,-0.35447008102585165,0.02307342707448567,-0.3996939980918436,-0.3092461639598597
