channel,beta_TD_minus_ASD,SE,p,q,is_posterior_roi,x,y
E31,0.0819711563210573,0.029093674005486837,0.0055963527270749,0.0536319972842843,False,-0.04598047584295273,-0.0676993578672409
E32,0.0574026623596823,0.06567388234982806,0.3836994809801229,0.5011585057699566,False,-0.060356318950653076,-0.06556326150894165
E33,0.1069691699564322,0.03114597235648481,0.0007939043608607,0.0254049395475442,True,-0.0206021592020988,-0.082138791680336
E34,0.0832689645652601,0.03998687465821118,0.039280981748958,0.113191558263211,False,0.0,-0.048749882727861404
E35,0.1156750156184603,0.05479136720784869,0.0367160861785281,0.113191558263211,False,-0.03058907762169838,-0.09613922983407974
E36,0.1169124549715797,0.03639374505201847,0.0016538100405018,0.0352812808640399,True,0.0,-0.0874492526054382
E37,0.1705393422955826,0.05470766962583627,0.002250840490471,0.0360134478475373,True,0.0,-0.1004806905984878
E38,0.1343483593579044,0.033844756833598694,0.0001180729739147,0.0075566703305446,True,0.0206021592020988,-0.082138791680336
E39,0.1785993106915019,0.06630856038633835,0.0080191445628263,0.0570250280023207,False,0.03058907762169838,-0.09613922983407974
E4,0.0651840739788022,0.029748969131321523,0.0302239658968083,0.113191558263211,False,0.0,0.042516425251960754
E40,0.0845685480090444,0.03608260739292726,0.0205957682560589,0.0941520834562696,False,0.04598047584295273,-0.0676993578672409
E41,0.0513453792952501,0.03457106454212922,0.1398718160018749,0.2632881242388234,False,0.043668270111083984,-0.01696571335196495
E42,0.0690405288502236,0.03486432986564567,0.0497856266824594,0.1231884647642015,False,0.06512700021266937,-0.050201017409563065
E43,0.1060919721033686,0.05771283090978998,0.0683047211310656,0.1561250768710072,False,0.060356318950653076,-0.06556326150894165
E44,0.0725943165942858,0.05506383803514148,0.1896640337943557,0.3181593846400334,False,0.06739987432956696,-0.06428422033786774
E45,0.082827884128519,0.041169611392913086,0.0462692100274409,0.1231884647642015,False,0.07324423640966415,-0.05212441831827164
E46,0.0946708373847654,0.04402857681941041,0.0333609489187912,0.113191558263211,False,0.07524658739566803,-0.03363790735602379
E47,0.1101542619218731,0.05327682358409445,0.0406782162508414,0.113191558263211,False,0.07349450141191483,-0.04176570847630501
E48,-0.0119476690940611,0.058209839069580105,0.8377015227534166,0.8509983723209311,False,0.0816708356142044,-0.025671932846307755
E49,0.0199829903198704,0.055168497462682486,0.7177732349375856,0.7530735579673029,False,0.07711999863386154,-0.00894556101411581
E5,0.1053183468577912,0.08815892267694703,0.2353313940152727,0.3423002094767604,False,0.030103998258709908,0.0992313027381897
E50,0.0422540966650655,0.03674626557257689,0.2522689825835771,0.3562261155187304,False,0.06119440123438835,0.0031824870966374874
E51,0.0455590586333599,0.03228602833937603,0.1606016005097978,0.2855139564618628,False,0.041273586452007294,0.01072647888213396
E52,0.0254475016591281,0.05276715233042453,0.6304851637746948,0.6957077669238011,False,0.0815826803445816,-0.020843328908085823
E53,0.0468249694200641,0.04104736415632595,0.2560375205290874,0.3562261155187304,False,0.053187232464551926,0.03013109788298607
E54,0.0401336985930368,0.032835722562022,0.2237884112961207,0.3330804261151564,False,0.027205348014831543,0.03634616732597351
E55,0.1602965692360765,0.05812151322506795,0.0067039996605355,0.0536319972842843,False,0.0764014720916748,0.01427897997200489
E56,-0.025240274112198,0.06933992915388343,0.7165036117887713,0.7530735579673029,False,0.07621430605649948,0.033153221011161804
E57,0.0424599546801682,0.055571827698593215,0.4462514408142206,0.5492325425405793,False,0.061948731541633606,0.04643747955560684
E58,0.071373041726855,0.0555910568152737,0.2015536793543656,0.3181593846400334,False,0.07146906107664108,0.04609573259949684
E59,0.1506379495816299,0.05758384855849139,0.0099932811117008,0.0639569991148855,False,0.06346629559993744,0.060906849801540375
E6,0.0525008487773119,0.058319573162887196,0.3697168673829651,0.4971932035308666,False,0.0,0.08893188834190369
E60,0.1159254164436275,0.06159213043674861,0.0621045117864036,0.1472106946048087,False,0.04980526119470596,0.06724813580513
E61,0.0506325559694487,0.06180921256084361,0.4142710269051155,0.5198695239593607,False,0.06833481788635254,0.050525445491075516
E62,0.1460056199805728,0.09082490515666919,0.1111184295281674,0.2186585031873885,False,0.04180983453989029,0.07426253706216812
E63,0.2768850159316126,0.11333801363997087,0.0165405527997096,0.081430413783186,False,-0.04180983453989029,0.07426253706216812
E64,0.016624451725274,0.06908628893874114,0.8102500799315014,0.8363871792841305,False,-0.06833481788635254,0.050525445491075516
E7,0.0465552853916943,0.02915898304235046,0.1127457907059972,0.2186585031873885,False,-0.027205348014831543,0.03634616732597351
E8,0.127914924414906,0.06146009483907434,0.0395539828795601,0.113191558263211,False,0.0,0.10137200355529785
E9,0.0688046750025433,0.053870920877151826,0.2038208557850214,0.3181593846400334,False,-0.03204099461436272,0.07980780303478241
